Pixel_X,Pixel_Y,Latitude,Longitude,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,Red_NIR_Ratio,SWIR_Ratio,Visible_SWIR_Ratio,Red_SWIR_Index,Mn_Score,Mn_Class
16,0,22.01,80.2116,0.123128,0.192564,0.110998,0.137536,0.164701,0.055896,0.321969,0.05259,0.373421,0.13732,0.158121,0.099249,0.17178,2.615269,0.577771,0.917001,0.161694,17.604452,LOW
17,0,22.01,80.2117,0.097927,0.023246,0.256007,0.242742,0.269695,0.106949,0.274245,0.076468,0.343719,0.294248,0.124103,0.476215,0.433294,3.174445,1.099056,0.548371,-0.324738,19.999532,LOW
18,0,22.01,80.2118,0.083917,0.213604,0.254811,0.266168,0.108312,0.032792,0.191479,0.500749,0.445092,0.279671,0.17983,0.154084,0.103287,0.53154,1.49181,2.024234,0.266706,15.908045,LOW
19,0,22.01,80.2119,0.072057,0.285663,0.296064,0.197529,0.277778,0.111777,0.347722,0.221677,0.465729,0.062611,0.010497,0.084747,0.317408,0.891065,0.266996,1.227373,0.399547,9.770583,LOW
20,0,22.01,80.212,0.140938,0.132476,0.319711,0.158505,0.225831,0.266096,0.248736,0.095493,0.169833,0.200585,0.064903,0.167602,0.469563,1.659866,0.356932,0.750538,-0.027895,10.971295,LOW
21,0,22.01,80.2121,0.11911,0.255866,0.104664,0.160359,0.240347,0.21078,0.127457,0.093635,0.152532,0.11123,0.056943,0.451274,0.385264,1.712599,1.171336,0.316809,-0.475636,12.282765,LOW
22,0,22.01,80.2122,0.172532,0.08419,0.265429,0.117875,0.25175,0.031109,0.165047,0.447997,0.42209,0.10641,0.162566,0.443087,0.460689,0.263116,0.961791,0.424114,-0.579739,4.508027,LOW
23,0,22.01,80.2123,0.022953,0.172888,0.071556,0.346934,0.344277,0.093998,0.053506,0.359864,0.119176,0.103635,0.012199,0.243597,0.293521,0.964071,0.829912,0.77914,0.174991,10.649912,LOW
24,0,22.01,80.2124,0.122971,0.088645,0.243219,0.062147,0.399568,0.034635,0.072541,0.259956,0.171008,0.084918,0.194807,0.190719,0.494442,0.239066,0.385726,0.445685,-0.508462,1.982518,LOW
25,0,22.01,80.2125,0.103992,0.078185,0.026082,0.284021,0.051018,0.322736,0.402856,0.13452,0.407828,0.220901,0.051179,0.355367,0.320763,2.111363,1.107877,0.458645,-0.111584,15.438672,LOW
26,0,22.01,80.2126,0.064941,0.198301,0.03222,0.118523,0.353564,0.137854,0.354588,0.127572,0.443294,0.122857,0.110327,0.073516,0.35551,0.929069,0.20679,0.351361,0.234364,6.409301,LOW
27,0,22.01,80.2127,0.156819,0.027997,0.295952,0.304506,0.392114,0.377601,0.118007,0.210753,0.132991,0.159742,0.025432,0.359704,0.259659,1.444845,1.385292,0.969476,-0.083103,15.299952,LOW
28,0,22.01,80.2128,0.120122,0.297142,0.258553,0.328661,0.118366,0.187166,0.031292,0.531969,0.407283,0.210569,0.036524,0.140887,0.447022,0.61782,0.315168,0.99882,0.399905,8.000613,LOW
29,0,22.01,80.2129,0.088998,0.216315,0.118641,0.225915,0.048468,0.309903,0.044739,0.125362,0.29036,0.094235,0.062943,0.473646,0.064652,1.802101,7.326051,0.640084,-0.354123,42.974267,MEDIUM
30,0,22.01,80.213,0.068166,0.09534,0.26713,0.295865,0.097245,0.312979,0.10353,0.186506,0.418586,0.028719,0.142501,0.099045,0.171102,1.586357,0.578865,2.084035,0.498393,17.485604,LOW
31,0,22.01,80.2131,0.221164,0.189253,0.123267,0.304357,0.161561,0.362494,0.375291,0.310369,0.105838,0.208466,0.0167,0.211435,0.035731,0.980628,5.917434,1.73011,0.180154,37.591096,MEDIUM
32,0,22.01,80.2132,0.203416,0.035398,0.204336,0.126368,0.258158,0.265332,0.072746,0.319848,0.079258,0.126542,0.157443,0.298267,0.342858,0.395089,0.869943,0.515818,-0.404814,5.530384,LOW
33,0,22.01,80.2133,0.159543,0.206147,0.275482,0.05042,0.221685,0.170273,0.092754,0.196875,0.424135,0.025868,0.092187,0.329587,0.432106,0.256102,0.762746,0.427864,-0.734637,3.0683,LOW
34,0,22.01,80.2134,0.099373,0.256141,0.083181,0.337006,0.098223,0.051365,0.33221,0.296335,0.234996,0.086697,0.092991,0.064967,0.315013,1.137248,0.206235,1.105815,0.676761,11.127578,LOW
35,0,22.01,80.2135,0.237769,0.24619,0.139861,0.263551,0.050206,0.040763,0.380871,0.441001,0.09909,0.083688,0.088123,0.4917,0.100222,0.59762,4.90612,0.681529,-0.302084,26.259668,LOW
36,0,22.01,80.2136,0.149577,0.056121,0.136476,0.308046,0.029292,0.238605,0.38738,0.42622,0.394821,0.248839,0.016855,0.119329,0.477874,0.722739,0.249708,0.74434,0.441572,7.520041,LOW
37,0,22.01,80.2137,0.119535,0.06142,0.242037,0.022721,0.288421,0.385809,0.435484,0.386848,0.448872,0.048195,0.097928,0.136986,0.286849,0.058734,0.477555,0.624671,-0.715465,1.479593,LOW
38,0,22.01,80.2138,0.227103,0.204299,0.091404,0.275657,0.210968,0.125793,0.291918,0.510543,0.391518,0.165281,0.186306,0.200124,0.261968,0.53993,0.763926,0.794348,0.158756,8.34685,LOW
39,0,22.01,80.2139,0.093449,0.099821,0.224233,0.275726,0.127553,0.381373,0.328499,0.047009,0.069156,0.252601,0.134425,0.229145,0.31324,5.865332,0.73153,0.921779,0.092264,33.374159,MEDIUM
0,1,22.0101,80.21,0.180079,0.28033,0.268933,0.264918,0.212889,0.170858,0.417095,0.117085,0.294055,0.236005,0.116436,0.020152,0.401902,2.262624,0.050141,1.26489,0.85862,16.742318,LOW
1,1,22.0101,80.2101,0.092179,0.179867,0.096194,0.348405,0.093514,0.437667,0.42404,0.090712,0.362274,0.126758,0.12434,0.088439,0.266677,3.840805,0.331634,1.251983,0.5951,24.603847,LOW
2,1,22.0101,80.2102,0.080157,0.177758,0.140409,0.32582,0.276758,0.385426,0.022442,0.141749,0.086619,0.279768,0.080361,0.365519,0.071452,2.298574,5.115592,1.066958,-0.057423,37.195145,MEDIUM
3,1,22.0101,80.2103,0.181193,0.232654,0.034572,0.313536,0.15839,0.060063,0.337486,0.416452,0.477589,0.239256,0.031434,0.299583,0.470214,0.752876,0.63712,0.452208,0.022758,7.255325,LOW
4,1,22.0101,80.2104,0.072415,0.267171,0.197245,0.140092,0.225661,0.304144,0.305332,0.528872,0.132645,0.043188,0.135491,0.076683,0.091143,0.264888,0.841342,2.01004,0.292512,11.640914,LOW
5,1,22.0101,80.2105,0.133415,0.149333,0.186479,0.077689,0.142625,0.409926,0.38648,0.229938,0.341636,0.277311,0.041201,0.264503,0.24455,0.337867,1.081593,0.51894,-0.545936,5.823317,LOW
6,1,22.0101,80.2106,0.153407,0.177329,0.246324,0.167227,0.305976,0.155388,0.114028,0.509033,0.196529,0.272768,0.178493,0.123163,0.190878,0.328519,0.645247,1.316869,0.151739,8.410568,LOW
7,1,22.0101,80.2107,0.063448,0.041733,0.198708,0.024766,0.366577,0.242253,0.339904,0.431348,0.481818,0.249283,0.175038,0.169368,0.298655,0.057416,0.567104,0.477486,-0.744853,1.341242,LOW
8,1,22.0101,80.2108,0.188185,0.278847,0.305108,0.221234,0.177225,0.367538,0.404768,0.043698,0.268545,0.22699,0.026023,0.457042,0.096396,5.062741,4.741273,0.951041,-0.347658,47.138626,MEDIUM
9,1,22.0101,80.2109,0.146151,0.270437,0.298907,0.128762,0.297094,0.259699,0.046311,0.092819,0.41438,0.060776,0.037105,0.232317,0.39172,1.387243,0.593069,0.685326,-0.286793,9.786195,LOW
10,1,22.0101,80.211,0.162946,0.035341,0.058444,0.021787,0.146574,0.356185,0.127005,0.102033,0.040789,0.160365,0.15448,0.101771,0.359918,0.213525,0.282763,0.173778,-0.647344,0.094486,LOW
11,1,22.0101,80.2111,0.105593,0.118418,0.214807,0.330873,0.100699,0.079976,0.22373,0.482527,0.303777,0.059654,0.164354,0.070442,0.068745,0.685708,1.024685,3.920471,0.648943,21.567149,LOW
12,1,22.0101,80.2112,0.116644,0.270013,0.245792,0.159077,0.063968,0.417438,0.396415,0.170311,0.177131,0.090127,0.192841,0.095916,0.057196,0.934038,1.676971,2.644258,0.247695,20.545662,LOW
13,1,22.0101,80.2113,0.133811,0.184259,0.172829,0.304243,0.274662,0.073383,0.407516,0.248801,0.327106,0.197067,0.152599,0.325643,0.068931,1.222839,4.724169,1.20908,-0.033974,30.828656,MEDIUM
14,1,22.0101,80.2114,0.128093,0.1095,0.11085,0.201603,0.359845,0.15367,0.170855,0.158087,0.213729,0.237039,0.098444,0.271645,0.324811,1.275266,0.836316,0.523849,-0.148001,10.331196,LOW
15,1,22.0101,80.2115,0.175397,0.118896,0.069634,0.146038,0.13842,0.316294,0.430769,0.237192,0.207176,0.112863,0.071467,0.36596,0.433208,0.615695,0.844766,0.26987,-0.429536,5.600689,LOW
16,1,22.0101,80.2116,0.152751,0.206118,0.268231,0.091426,0.189958,0.168469,0.395788,0.181593,0.2476,0.062928,0.037188,0.288043,0.310502,0.503467,0.927669,0.600887,-0.518136,6.221422,LOW
17,1,22.0101,80.2117,0.115742,0.212995,0.02553,0.257031,0.204853,0.417614,0.152321,0.107913,0.252589,0.293179,0.060653,0.063856,0.479886,2.381826,0.133065,0.519659,0.602003,14.556751,LOW
18,1,22.0101,80.2118,0.020415,0.061421,0.193556,0.08503,0.110857,0.157666,0.420169,0.288959,0.381792,0.076536,0.162774,0.407586,0.357626,0.294263,1.139698,0.364064,-0.654782,5.066377,LOW
19,1,22.0101,80.2119,0.202627,0.14516,0.347966,0.328691,0.351839,0.137566,0.077613,0.408221,0.390311,0.034719,0.192695,0.259769,0.183961,0.805179,1.412089,1.52493,0.117123,14.788104,LOW
20,1,22.0101,80.212,0.139458,0.253733,0.257751,0.295075,0.254956,0.367313,0.141693,0.544777,0.140168,0.080259,0.120484,0.053029,0.238107,0.541644,0.222711,1.898861,0.695327,10.949022,LOW
21,1,22.0101,80.2121,0.095105,0.253423,0.074885,0.200792,0.310015,0.311416,0.280085,0.106518,0.45973,0.068498,0.074813,0.121864,0.416537,1.885051,0.292564,0.512029,0.244621,11.832286,LOW
22,1,22.0101,80.2122,0.13499,0.215683,0.30005,0.260793,0.237509,0.143482,0.073103,0.19652,0.469283,0.20004,0.026817,0.035699,0.408863,1.327053,0.087313,1.261562,0.759191,12.205264,LOW
23,1,22.0101,80.2123,0.041493,0.246355,0.236723,0.096278,0.244757,0.046617,0.215868,0.172623,0.336413,0.259843,0.156677,0.243837,0.380245,0.557736,0.641263,0.533585,-0.433851,5.185278,LOW
24,1,22.0101,80.2124,0.228082,0.212268,0.278073,0.182572,0.287793,0.197812,0.356274,0.484054,0.497518,0.180888,0.026484,0.275626,0.31354,0.377172,0.879079,0.781858,-0.203088,6.952464,LOW
25,1,22.0101,80.2125,0.247639,0.254178,0.108251,0.265502,0.386135,0.170336,0.06943,0.149004,0.121619,0.261118,0.063871,0.376787,0.348566,1.781848,1.080964,0.51527,-0.173264,13.750372,LOW
26,1,22.0101,80.2126,0.033509,0.119565,0.331026,0.107407,0.324746,0.399401,0.328615,0.19524,0.48217,0.192024,0.057514,0.479551,0.101049,0.550127,4.745714,0.755138,-0.634022,24.476016,LOW
27,1,22.0101,80.2127,0.102393,0.039895,0.243876,0.150228,0.273907,0.409302,0.399726,0.300549,0.227406,0.050053,0.10915,0.047606,0.083814,0.499847,0.567997,2.998823,0.518729,15.261603,LOW
28,1,22.0101,80.2128,0.187915,0.046625,0.097516,0.33198,0.320766,0.253187,0.407737,0.08314,0.088502,0.123788,0.025857,0.395988,0.161968,3.993016,2.444858,0.769767,-0.087928,31.588921,MEDIUM
29,1,22.0101,80.2129,0.092275,0.186203,0.134195,0.164621,0.192763,0.435704,0.356067,0.546469,0.234731,0.293049,0.055747,0.168695,0.074103,0.301245,2.2765,1.230723,-0.012221,15.154622,LOW
30,1,22.0101,80.213,0.150421,0.02351,0.078446,0.05924,0.370988,0.159825,0.312295,0.230821,0.403777,0.155467,0.188602,0.343248,0.354374,0.256649,0.968602,0.197364,-0.70563,3.406498,LOW
31,1,22.0101,80.2131,0.115811,0.255487,0.023206,0.132301,0.098107,0.284997,0.358012,0.337492,0.308627,0.058534,0.166977,0.222901,0.264682,0.392012,0.842145,0.318935,-0.255066,5.238062,LOW
32,1,22.0101,80.2132,0.198069,0.073145,0.044464,0.091999,0.235457,0.146984,0.072483,0.187376,0.491664,0.043863,0.054146,0.282225,0.308595,0.490989,0.914548,0.230974,-0.50832,4.974833,LOW
33,1,22.0101,80.2133,0.240447,0.248718,0.07037,0.020501,0.3671,0.04169,0.261462,0.066664,0.301493,0.19469,0.174458,0.297217,0.22903,0.307532,1.297722,0.172679,-0.870946,4.595237,LOW
34,1,22.0101,80.2134,0.224331,0.119609,0.307362,0.337308,0.061394,0.061625,0.432251,0.360472,0.358983,0.262557,0.017473,0.201021,0.218399,0.935738,0.920431,1.537052,0.253166,13.557197,LOW
35,1,22.0101,80.2135,0.162815,0.049848,0.221046,0.15599,0.100401,0.026201,0.431397,0.368237,0.413583,0.208739,0.182281,0.403008,0.219468,0.423613,1.836294,0.605704,-0.441894,10.363889,LOW
36,1,22.0101,80.2136,0.056863,0.123542,0.16666,0.169648,0.19017,0.060652,0.276597,0.456753,0.348665,0.273248,0.143021,0.166737,0.493456,0.371422,0.337896,0.509409,0.008655,4.196157,LOW
37,1,22.0101,80.2137,0.237824,0.022546,0.191462,0.032308,0.364921,0.448258,0.283996,0.215241,0.157511,0.133446,0.063972,0.373857,0.266276,0.150104,1.40402,0.349569,-0.84091,5.002624,LOW
38,1,22.0101,80.2138,0.025435,0.076241,0.331042,0.139323,0.16544,0.057234,0.276039,0.350209,0.306572,0.07158,0.047638,0.350434,0.27854,0.397827,1.258109,0.747828,-0.431053,8.008352,LOW
39,1,22.0101,80.2139,0.088473,0.060965,0.149203,0.050567,0.188956,0.396569,0.209852,0.421454,0.4667,0.139357,0.089372,0.433172,0.033464,0.119982,12.944586,0.428107,-0.790933,59.415776,MEDIUM
0,2,22.0102,80.21,0.084771,0.293185,0.152447,0.039923,0.058428,0.406408,0.144677,0.404326,0.195117,0.183797,0.069413,0.338513,0.349784,0.098741,0.967778,0.279488,-0.789009,2.65774,LOW
1,2,22.0102,80.2101,0.17452,0.141287,0.078264,0.204339,0.390818,0.24719,0.124882,0.489753,0.157773,0.137313,0.186132,0.32982,0.300256,0.417229,1.098463,0.448522,-0.234913,7.027546,LOW
2,2,22.0102,80.2102,0.132094,0.173676,0.068813,0.317165,0.313173,0.242789,0.221185,0.088472,0.0437,0.283105,0.104518,0.132817,0.056521,3.584922,2.34986,2.038565,0.409678,34.753964,MEDIUM
3,2,22.0102,80.2103,0.041364,0.035688,0.027641,0.103369,0.25517,0.319351,0.112436,0.375448,0.067295,0.131819,0.084648,0.048755,0.445446,0.275323,0.109453,0.265095,0.359008,3.005002,LOW
4,2,22.0102,80.2104,0.022957,0.03655,0.2028,0.195136,0.271269,0.126778,0.120721,0.082182,0.121752,0.091746,0.148367,0.23255,0.154316,2.37444,1.506966,1.028614,-0.087479,20.404198,LOW
5,2,22.0102,80.2105,0.158993,0.188406,0.207807,0.159929,0.262338,0.143448,0.057659,0.30974,0.054427,0.081176,0.070616,0.122511,0.356119,0.516332,0.344018,0.76831,0.132479,6.102112,LOW
6,2,22.0102,80.2106,0.133041,0.114599,0.193976,0.228284,0.332806,0.024662,0.212398,0.078503,0.26764,0.255434,0.106032,0.409042,0.304913,2.907959,1.341503,0.591438,-0.283618,20.150087,LOW
7,2,22.0102,80.2107,0.158318,0.103098,0.263785,0.323553,0.18992,0.093735,0.27575,0.216418,0.347625,0.181616,0.151602,0.328942,0.492696,1.495037,0.667636,0.71484,-0.008258,11.605552,LOW
8,2,22.0102,80.2108,0.149725,0.065713,0.068812,0.07095,0.370017,0.256601,0.243325,0.341369,0.213721,0.185521,0.072185,0.184734,0.422915,0.207839,0.436812,0.230005,-0.445018,1.599477,LOW
9,2,22.0102,80.2109,0.224806,0.232307,0.210574,0.218667,0.11409,0.151935,0.082451,0.258579,0.363919,0.116171,0.067871,0.044985,0.440693,0.845648,0.102077,0.883799,0.658757,8.519704,LOW
10,2,22.0102,80.211,0.231231,0.283784,0.331743,0.3089,0.097549,0.377024,0.378829,0.059819,0.401938,0.183066,0.140235,0.352573,0.108553,5.163909,3.247944,1.389303,-0.066024,42.85811,MEDIUM
11,2,22.0102,80.2111,0.063299,0.123283,0.220055,0.215487,0.343088,0.368274,0.310989,0.260588,0.10143,0.100169,0.104769,0.378954,0.373984,0.826926,1.01329,0.578456,-0.274993,8.831412,LOW
12,2,22.0102,80.2112,0.236688,0.125343,0.276542,0.128149,0.160591,0.190738,0.287793,0.435546,0.3429,0.022649,0.072589,0.149139,0.454002,0.294225,0.328499,0.670971,-0.0757,4.031352,LOW
13,2,22.0102,80.2113,0.201177,0.101819,0.187325,0.041729,0.133216,0.327374,0.105594,0.070676,0.077386,0.246574,0.155167,0.033962,0.492791,0.590431,0.068919,0.434843,0.102613,4.022349,LOW
14,2,22.0102,80.2114,0.166976,0.068991,0.056166,0.198083,0.072969,0.374402,0.336486,0.386279,0.213639,0.205752,0.03766,0.132968,0.389963,0.512796,0.340977,0.486198,0.196689,5.389601,LOW
15,2,22.0102,80.2115,0.17171,0.108056,0.345065,0.190723,0.333982,0.355742,0.323316,0.213303,0.393422,0.142066,0.048043,0.28909,0.111897,0.89414,2.583529,1.336173,-0.20501,19.104172,LOW
16,2,22.0102,80.2116,0.145594,0.250068,0.134983,0.149463,0.340856,0.426906,0.206582,0.06742,0.195225,0.116815,0.075936,0.460372,0.268173,2.216897,1.716697,0.39043,-0.509825,17.331492,LOW
17,2,22.0102,80.2117,0.230971,0.043344,0.077309,0.13255,0.278971,0.110637,0.316011,0.293493,0.18597,0.152092,0.143093,0.448661,0.048209,0.451627,9.306659,0.422362,-0.543884,44.656374,MEDIUM
18,2,22.0102,80.2118,0.073651,0.249515,0.208813,0.04647,0.329648,0.277313,0.127299,0.072651,0.205049,0.284471,0.03317,0.388459,0.306324,0.639641,1.268134,0.367428,-0.786309,6.888761,LOW
19,2,22.0102,80.2119,0.157843,0.035412,0.059666,0.135382,0.345102,0.220911,0.264615,0.439286,0.468781,0.075642,0.063187,0.296211,0.050124,0.308186,5.909581,0.563176,-0.372641,29.019182,LOW
20,2,22.0102,80.212,0.207276,0.170564,0.142831,0.204929,0.034822,0.021504,0.197119,0.146401,0.339714,0.227217,0.115042,0.136569,0.214095,1.399779,0.637889,0.991718,0.200178,12.53716,LOW
21,2,22.0102,80.2121,0.050995,0.234626,0.200354,0.335431,0.230054,0.328555,0.228356,0.295768,0.344313,0.215752,0.010057,0.170376,0.311559,1.1341,0.54685,1.111736,0.32632,11.633352,LOW
22,2,22.0102,80.2122,0.161567,0.115008,0.022545,0.296715,0.321921,0.057653,0.229694,0.167765,0.405149,0.224553,0.131618,0.448673,0.389392,1.768631,1.15224,0.38095,-0.203863,13.506898,LOW
23,2,22.0102,80.2123,0.112652,0.265352,0.312681,0.130458,0.3448,0.099452,0.193104,0.387788,0.373876,0.126486,0.090673,0.271472,0.038683,0.336416,7.017833,1.428767,-0.350841,37.127941,MEDIUM
24,2,22.0102,80.2124,0.196188,0.233469,0.099701,0.300793,0.269444,0.342228,0.122552,0.099998,0.359065,0.043743,0.149609,0.381373,0.066954,3.007979,5.696087,0.893308,-0.118124,42.514711,MEDIUM
25,2,22.0102,80.2125,0.035574,0.199508,0.209252,0.161545,0.167931,0.420639,0.21016,0.522291,0.316187,0.222587,0.163424,0.363332,0.076155,0.309301,4.770953,0.843704,-0.384447,24.522188,LOW
26,2,22.0102,80.2126,0.159567,0.120696,0.242187,0.12211,0.29379,0.332544,0.337579,0.109102,0.137478,0.209123,0.171471,0.144084,0.091017,1.119234,1.583053,1.549539,-0.082548,16.516353,LOW
27,2,22.0102,80.2127,0.217128,0.058146,0.154236,0.176611,0.289965,0.399804,0.28365,0.360085,0.427752,0.283497,0.138256,0.091472,0.023544,0.490471,3.885183,2.876528,0.317584,29.771233,LOW
28,2,22.0102,80.2128,0.16452,0.186655,0.319919,0.132432,0.085452,0.240939,0.272983,0.209764,0.086777,0.257751,0.075935,0.365737,0.218362,0.631339,1.674906,0.774443,-0.468324,11.026498,LOW
29,2,22.0102,80.2129,0.093908,0.077159,0.277119,0.12036,0.115922,0.229266,0.210804,0.324981,0.403393,0.213212,0.092344,0.056264,0.202028,0.37036,0.278495,1.538876,0.362896,8.241012,LOW
30,2,22.0102,80.213,0.170833,0.266185,0.238633,0.288495,0.191537,0.142284,0.405052,0.464717,0.09543,0.132629,0.192787,0.212911,0.048133,0.620798,4.423345,2.01931,0.150746,29.704531,LOW
31,2,22.0102,80.2131,0.097775,0.266171,0.214308,0.209554,0.361114,0.049599,0.114552,0.11456,0.248539,0.204298,0.102052,0.024745,0.402056,1.829212,0.061546,0.993115,0.788776,13.693448,LOW
32,2,22.0102,80.2132,0.173776,0.158603,0.283614,0.341209,0.152848,0.092271,0.33535,0.045196,0.09978,0.153958,0.16,0.382028,0.378002,7.549601,1.01065,0.822104,-0.056438,41.810104,MEDIUM
33,2,22.0102,80.2133,0.049519,0.213174,0.050349,0.236955,0.193019,0.116014,0.202897,0.528554,0.387455,0.155184,0.11087,0.14167,0.279017,0.448308,0.507745,0.68294,0.251662,6.656961,LOW
34,2,22.0102,80.2134,0.084398,0.223554,0.31016,0.340495,0.261691,0.395497,0.022897,0.032415,0.336287,0.142085,0.134866,0.160716,0.062255,10.504126,2.581599,2.918111,0.358688,70.90067,HIGH
35,2,22.0102,80.2135,0.027525,0.116075,0.127573,0.194191,0.281164,0.021011,0.189964,0.39998,0.45655,0.196637,0.132674,0.324555,0.456252,0.485502,0.711351,0.412091,-0.251306,5.366191,LOW
36,2,22.0102,80.2136,0.039299,0.062998,0.036352,0.208112,0.129762,0.201506,0.28948,0.327944,0.168774,0.129054,0.085048,0.485334,0.15948,0.634598,3.043234,0.379124,-0.399774,16.440261,LOW
37,2,22.0102,80.2137,0.147597,0.140049,0.14061,0.346749,0.048006,0.437844,0.440091,0.41708,0.299268,0.043416,0.077308,0.024347,0.251207,0.831373,0.096919,1.768654,0.868785,11.853571,LOW
38,2,22.0102,80.2138,0.073291,0.16095,0.131422,0.306629,0.350809,0.409906,0.390634,0.100749,0.141972,0.150464,0.146776,0.183048,0.330068,3.043497,0.554578,0.853707,0.252372,19.590691,LOW
39,2,22.0102,80.2139,0.138699,0.214101,0.349986,0.118602,0.04295,0.067742,0.366611,0.462292,0.236311,0.097825,0.032386,0.345874,0.208053,0.256552,1.662434,0.845938,-0.489309,9.367341,LOW
0,3,22.0103,80.21,0.171701,0.21158,0.115119,0.145375,0.380542,0.339979,0.435709,0.447112,0.294573,0.138713,0.174503,0.19303,0.215735,0.325143,0.894757,0.637272,-0.140821,6.524382,LOW
1,3,22.0103,80.2101,0.222673,0.035521,0.133494,0.27321,0.137493,0.394974,0.273729,0.250061,0.48195,0.128807,0.021998,0.042852,0.307155,1.092574,0.139514,1.161986,0.728836,10.943496,LOW
2,3,22.0103,80.2102,0.101664,0.278157,0.294876,0.19595,0.132124,0.100695,0.026688,0.113373,0.071771,0.234806,0.112229,0.086813,0.088057,1.728361,0.985865,2.806809,0.385968,21.971045,LOW
3,3,22.0103,80.2103,0.093296,0.077434,0.287498,0.033118,0.155241,0.128228,0.122123,0.095249,0.186585,0.294912,0.134353,0.271629,0.257479,0.347698,1.054956,0.605954,-0.782654,5.276149,LOW
4,3,22.0103,80.2104,0.092143,0.085428,0.172169,0.34427,0.043701,0.313976,0.372539,0.046422,0.089827,0.075564,0.061902,0.457272,0.210234,7.41606,2.17506,0.773685,-0.14098,46.231377,MEDIUM
5,3,22.0103,80.2105,0.047105,0.044948,0.307842,0.189752,0.295571,0.345796,0.176323,0.129177,0.189744,0.094405,0.070694,0.060113,0.173176,1.468932,0.347121,2.132955,0.518837,16.064162,LOW
